date,ndvi
25-03-2015,0.322874422
26-03-2015,0.320934384
27-03-2015,0.318994345
28-03-2015,0.317054307
29-03-2015,0.315114268
30-03-2015,0.31317423
31-03-2015,0.311234192
01-04-2015,0.309294153
02-04-2015,0.307354115
03-04-2015,0.305414077
04-04-2015,0.303474038
05-04-2015,0.301534
06-04-2015,0.299593961
07-04-2015,0.297653923
08-04-2015,0.285944202
09-04-2015,0.274234481
10-04-2015,0.262524759
11-04-2015,0.250815038
12-04-2015,0.239105317
13-04-2015,0.227395596
14-04-2015,0.215685875
15-04-2015,0.203976153
16-04-2015,0.192266432
17-04-2015,0.180556711
18-04-2015,0.16884699
19-04-2015,0.157137269
20-04-2015,0.145427548
21-04-2015,0.133717826
22-04-2015,0.122008105
23-04-2015,0.110298384
24-04-2015,0.119355583
25-04-2015,0.128412783
26-04-2015,0.137469982
27-04-2015,0.146527182
28-04-2015,0.155584381
29-04-2015,0.16464158
30-04-2015,0.17369878
01-05-2015,0.182755979
02-05-2015,0.191813179
03-05-2015,0.200870378
04-05-2015,0.209927577
05-05-2015,0.218984777
06-05-2015,0.228041976
07-05-2015,0.237099176
08-05-2015,0.246156375
09-05-2015,0.255213574
10-05-2015,0.256535765
11-05-2015,0.257857955
12-05-2015,0.259180145
13-05-2015,0.260502335
14-05-2015,0.261824526
15-05-2015,0.263146716
16-05-2015,0.264468906
17-05-2015,0.265791096
18-05-2015,0.267113287
19-05-2015,0.268435477
20-05-2015,0.269757667
21-05-2015,0.271079858
22-05-2015,0.272402048
23-05-2015,0.273724238
24-05-2015,0.275046428
25-05-2015,0.276368619
26-05-2015,0.276071801
27-05-2015,0.275774984
28-05-2015,0.275478166
29-05-2015,0.275181349
30-05-2015,0.274884531
31-05-2015,0.274587714
01-06-2015,0.274290896
02-06-2015,0.273994079
03-06-2015,0.273697261
04-06-2015,0.273400444
05-06-2015,0.273103626
06-06-2015,0.272806809
07-06-2015,0.272509991
08-06-2015,0.272213174
09-06-2015,0.271916357
10-06-2015,0.271619539
11-06-2015,0.271221768
12-06-2015,0.270823997
13-06-2015,0.270426225
14-06-2015,0.270028454
15-06-2015,0.269630683
16-06-2015,0.269232912
17-06-2015,0.268835141
18-06-2015,0.268437369
19-06-2015,0.268039598
20-06-2015,0.267641827
21-06-2015,0.267244056
22-06-2015,0.266846284
23-06-2015,0.266448513
24-06-2015,0.266050742
25-06-2015,0.265652971
26-06-2015,0.2652552
27-06-2015,0.264857428
28-06-2015,0.264459657
29-06-2015,0.264061886
30-06-2015,0.263664115
01-07-2015,0.263266343
02-07-2015,0.262868572
03-07-2015,0.262470801
04-07-2015,0.26207303
05-07-2015,0.261675259
06-07-2015,0.261277487
07-07-2015,0.260879716
08-07-2015,0.260481945
09-07-2015,0.260084174
10-07-2015,0.259686402
11-07-2015,0.259288631
12-07-2015,0.25889086
13-07-2015,0.258493089
14-07-2015,0.258095318
15-07-2015,0.257697546
16-07-2015,0.257299775
17-07-2015,0.256902004
18-07-2015,0.256504233
19-07-2015,0.256106462
20-07-2015,0.25570869
21-07-2015,0.255310919
22-07-2015,0.254913148
23-07-2015,0.254515377
24-07-2015,0.254117605
25-07-2015,0.253719834
26-07-2015,0.253322063
27-07-2015,0.252924292
28-07-2015,0.252526521
29-07-2015,0.252128749
30-07-2015,0.251730978
31-07-2015,0.251333207
01-08-2015,0.250935436
02-08-2015,0.250537664
03-08-2015,0.250139893
04-08-2015,0.249742122
05-08-2015,0.249344351
06-08-2015,0.24894658
07-08-2015,0.248548808
08-08-2015,0.248151037
09-08-2015,0.247753266
10-08-2015,0.247355495
11-08-2015,0.246957723
12-08-2015,0.246559952
13-08-2015,0.246162181
14-08-2015,0.24576441
15-08-2015,0.245366639
16-08-2015,0.244968867
17-08-2015,0.244571096
18-08-2015,0.244173325
19-08-2015,0.243775554
20-08-2015,0.243377783
21-08-2015,0.242980011
22-08-2015,0.24258224
23-08-2015,0.242184469
24-08-2015,0.241786698
25-08-2015,0.241388926
26-08-2015,0.240991155
27-08-2015,0.240593384
28-08-2015,0.240195613
29-08-2015,0.239797842
30-08-2015,0.23940007
31-08-2015,0.239002299
01-09-2015,0.238604528
02-09-2015,0.238206757
03-09-2015,0.237808985
04-09-2015,0.237411214
05-09-2015,0.237013443
06-09-2015,0.236615672
07-09-2015,0.236217901
08-09-2015,0.235820129
09-09-2015,0.235422358
10-09-2015,0.235024587
11-09-2015,0.234626816
12-09-2015,0.234229044
13-09-2015,0.233831273
14-09-2015,0.233433502
15-09-2015,0.233035731
16-09-2015,0.23263796
17-09-2015,0.232240188
18-09-2015,0.231842417
19-09-2015,0.231444646
20-09-2015,0.231046875
21-09-2015,0.230649104
22-09-2015,0.230251332
23-09-2015,0.229853561
24-09-2015,0.22945579
25-09-2015,0.229058019
26-09-2015,0.228660247
27-09-2015,0.228262476
28-09-2015,0.227864705
29-09-2015,0.227466934
30-09-2015,0.227069163
01-10-2015,0.240133026
02-10-2015,0.253196889
03-10-2015,0.266260752
04-10-2015,0.279324616
05-10-2015,0.292388479
06-10-2015,0.305452342
07-10-2015,0.318516205
08-10-2015,0.331580069
09-10-2015,0.344643932
10-10-2015,0.357707795
11-10-2015,0.370771658
12-10-2015,0.383835522
13-10-2015,0.396899385
14-10-2015,0.409963248
15-10-2015,0.423027111
16-10-2015,0.436090975
17-10-2015,0.449154838
18-10-2015,0.462218701
19-10-2015,0.475282564
20-10-2015,0.488346428
21-10-2015,0.501410291
22-10-2015,0.514474154
23-10-2015,0.527538017
24-10-2015,0.540601881
25-10-2015,0.553665744
26-10-2015,0.566729607
27-10-2015,0.57979347
28-10-2015,0.592857333
29-10-2015,0.605921197
30-10-2015,0.61898506
31-10-2015,0.632048923
01-11-2015,0.645112786
02-11-2015,0.642344739
03-11-2015,0.639576691
04-11-2015,0.636808643
05-11-2015,0.634040595
06-11-2015,0.631272547
07-11-2015,0.628504499
08-11-2015,0.625736452
09-11-2015,0.622968404
10-11-2015,0.620200356
11-11-2015,0.617432308
12-11-2015,0.61466426
13-11-2015,0.611896212
14-11-2015,0.609128164
15-11-2015,0.606360117
16-11-2015,0.603592069
17-11-2015,0.600824021
18-11-2015,0.598055973
19-11-2015,0.595287925
20-11-2015,0.592519877
21-11-2015,0.589751829
22-11-2015,0.586983782
23-11-2015,0.584215734
24-11-2015,0.581447686
25-11-2015,0.578679638
26-11-2015,0.57591159
27-11-2015,0.573143542
28-11-2015,0.570375494
29-11-2015,0.567607447
30-11-2015,0.564839399
01-12-2015,0.562071351
02-12-2015,0.559303303
03-12-2015,0.556535255
04-12-2015,0.553767207
05-12-2015,0.550999159
06-12-2015,0.548231112
07-12-2015,0.545463064
08-12-2015,0.542695016
09-12-2015,0.539926968
10-12-2015,0.53715892
11-12-2015,0.534390872
12-12-2015,0.531622824
13-12-2015,0.528854777
14-12-2015,0.526086729
15-12-2015,0.523318681
16-12-2015,0.520550633
17-12-2015,0.517782585
18-12-2015,0.515014537
19-12-2015,0.512246489
20-12-2015,0.49920056
21-12-2015,0.486154631
22-12-2015,0.473108701
23-12-2015,0.460062772
24-12-2015,0.447016843
25-12-2015,0.433970913
26-12-2015,0.420924984
27-12-2015,0.407879055
28-12-2015,0.394833125
29-12-2015,0.381787196
30-12-2015,0.368741266
31-12-2015,0.355695337
01-01-2016,0.342649408
02-01-2016,0.329603478
03-01-2016,0.316557549
04-01-2016,0.30351162
05-01-2016,0.30308744
06-01-2016,0.30266326
07-01-2016,0.30223908
08-01-2016,0.3018149
09-01-2016,0.301390719
10-01-2016,0.300966539
11-01-2016,0.300542359
12-01-2016,0.300118179
13-01-2016,0.299693999
14-01-2016,0.299269819
15-01-2016,0.298845639
16-01-2016,0.298421459
17-01-2016,0.297997279
18-01-2016,0.297573099
19-01-2016,0.297148919
20-01-2016,0.296724739
21-01-2016,0.296300559
22-01-2016,0.295876379
23-01-2016,0.295452199
24-01-2016,0.295028019
25-01-2016,0.294603839
26-01-2016,0.294179659
27-01-2016,0.293755479
28-01-2016,0.293331299
29-01-2016,0.292907119
30-01-2016,0.292482939
31-01-2016,0.292058758
01-02-2016,0.291634578
02-02-2016,0.291210398
03-02-2016,0.290786218
04-02-2016,0.290362038
05-02-2016,0.289937858
06-02-2016,0.290028565
07-02-2016,0.290119272
08-02-2016,0.290209979
09-02-2016,0.290300686
10-02-2016,0.290391392
11-02-2016,0.290482099
12-02-2016,0.290572806
13-02-2016,0.290663513
14-02-2016,0.29075422
15-02-2016,0.290844926
16-02-2016,0.290935633
17-02-2016,0.29102634
18-02-2016,0.291117047
19-02-2016,0.291207754
20-02-2016,0.29129846
21-02-2016,0.291389167
22-02-2016,0.291479874
23-02-2016,0.291570581
24-02-2016,0.291661288
25-02-2016,0.291751994
26-02-2016,0.291842701
27-02-2016,0.291933408
28-02-2016,0.292024115
29-02-2016,0.292114822
01-03-2016,0.292205528
02-03-2016,0.292296235
03-03-2016,0.292386942
04-03-2016,0.292477649
05-03-2016,0.292568356
06-03-2016,0.292659063
07-03-2016,0.292749769
08-03-2016,0.292840476
09-03-2016,0.29267116
10-03-2016,0.292501845
11-03-2016,0.292332529
12-03-2016,0.292163213
13-03-2016,0.291993897
14-03-2016,0.291824581
15-03-2016,0.291655266
16-03-2016,0.29148595
17-03-2016,0.291316634
18-03-2016,0.291147318
